name,value,group
Semey city,331040,Abai
Zharasemey,"20,868",Abai
Kurchatov,10253,Abai
Abay,13793,Abai
Aqsuat,19195,Abai
Ayagoz,65270,Abai
Beskaragay,17516,Abai
Borodulikha,32540,Abai
Zharma,35356,Abai
Kokpekti,13345,Abai
Maqanshy,"27,467",Abai
Urzhar,68219,Abai
Kokshetau city,194000,Aqmola
Kosshy,56818,Aqmola
Stepnogorsk,67578,Aqmola
Akkol,23526,Aqmola
Arshaly,25317,Aqmola
Astrakhan,19295,Aqmola
Atbasar,42524,Aqmola
Bulandy,28974,Aqmola
Egindykol,5130,Aqmola
Birzhansal,12898,Aqmola
Ereymentau,25342,Aqmola
Esil,20244,Aqmola
Zhaksy,15655,Aqmola
Zharkain,12273,Aqmola
Zerendi,34504,Aqmola
Korgalzhyn,6971,Aqmola
Sandyktau,16704,Aqmola
Tselinograd,82958,Aqmola
Shortandy,26988,Aqmola
Burabay,70819,Aqmola
Aktobe city,573132,Aqtobe
Alga,43736,Aqtobe
Aytekebi,20602,Aqtobe
Bayganin,22920,Aqtobe
Kargaly,15416,Aqtobe
Khobda,15904,Aqtobe
Martuk,29674,Aqtobe
Mugalzhar,65714,Aqtobe
Oiyl,16013,Aqtobe
Temir,35674,Aqtobe
Khromtau,46680,Aqtobe
Shalkar,42370,Aqtobe
Yrgyz,13930,Aqtobe
Konaiev city,71799,Almaty region
Alatau,,Almaty region
Balkhash,28305,Almaty region
EnbekshiQazaq,285186,Almaty region
Zhambyl,169540,Almaty region
Kegen,27358,Almaty region
Karasay,342059,Almaty region
Raiymbek,28193,Almaty region
Talgar,248450,Almaty region
Uygur,62454,Almaty region
Ile,274530,Almaty region
Atyrau city,414840,Atyrau
Zhylyoi,87121,Atyrau
Inder,32766,Atyrau
Isatay,26362,Atyrau
Kurmangazy,55906,Atyrau
Kyzylkoga,30833,Atyrau
Makat,29689,Atyrau
Makhambet,29194,Atyrau
Oral city,363453,West
Akzhaik,35521,West
Burli,57966,West
Zhanakala,21639,West
Zhanybek,14303,West
Baiterek,61237,West
Kaztalovka,27077,West
Karatobe,13434,West
Bokeyorda,14276,West
Syrym,17156,West
Taskala,16183,West
Terekti,38935,West
Chingirlau,12901,West
Taraz city,432367,Zhambyl
Bayzak,106428,Zhambyl
Zhambyl,88152,Zhambyl
Zhualy,54221,Zhambyl
Korday,158312,Zhambyl
TurarRyskulov,67407,Zhambyl
Merke,88615,Zhambyl
Moiynkum,28370,Zhambyl
Sarysu,44065,Zhambyl
Talas,48742,Zhambyl
Shu,106132,Zhambyl
Taldykorgan city,204920,Zhetisu
Tekeli,31012,Zhetisu
Aksu,36333,Zhetisu
Alakol,74351,Zhetisu
Eskeldi,51797,Zhetisu
Kerbulak,43228,Zhetisu
Koksu,41946,Zhetisu
Karatal,39762,Zhetisu
Panfilov,134351,Zhetisu
Sarkand,39276,Zhetisu
Qaragandy city,521847,Qaragandy
Balkhash,77407,Qaragandy
Priozersk,11115,Qaragandy
Saran,43708,Qaragandy
Temirtau,177122,Qaragandy
Shakhtinsk,58079,Qaragandy
Abay,58611,Qaragandy
Aktogay,15811,Qaragandy
Bukhar-Zhyrau,52531,Qaragandy
Karkaraly,30188,Qaragandy
Nura,21805,Qaragandy
Osakarov,29640,Qaragandy
Shet,37068,Qaragandy
Qostanai city,269152,Qostanai
Arqalyq,37868,Qostanai
Lisakovsk,34624,Qostanai
Rudnyy,123421,Qostanai
Altynsarin,12245,Qostanai
Amangeldi,13171,Qostanai
Auliekol,34085,Qostanai
Denisov,16077,Qostanai
Zhangeldi,10504,Qostanai
Zhetikara,41868,Qostanai
