Route_ID,Route_Name,Station_Name,Coordinates,Country
001X,Almaty-2 - Tashkent,Almaty-2,"43.27397375871034, 76.93882354417588",Kazakhstan
001X,Almaty-2 - Tashkent,Otar,"43.53996865179691, 75.21089269268242",Kazakhstan
001X,Almaty-2 - Tashkent,Shu,"43.60109129285158, 73.76073676546521",Kazakhstan
001X,Almaty-2 - Tashkent,Taraz,"42.87054930526968, 71.37970353170346",Kazakhstan
001X,Almaty-2 - Tashkent,Tulkibas,"42.489811034716126, 70.28366215006808",Kazakhstan
001X,Almaty-2 - Tashkent,Mankent,"42.42816579223852, 69.82099546652171",Kazakhstan
001X,Almaty-2 - Tashkent,Shymkent,"42.29875008081238, 69.61033677987854",Kazakhstan
001X,Almaty-2 - Tashkent,Arys 1,"42.41916270659516, 68.79354555713263",Kazakhstan
001X,Almaty-2 - Tashkent,Saryagash,"41.466759960205714, 69.14723031359257",Kazakhstan
001X,Almaty-2 - Tashkent,Keles,"41.406962756202844, 69.20490585160118",Uzbekistan
001X,Almaty-2 - Tashkent,Tashkent-Center,"41.291346255812705, 69.28673136660277",Uzbekistan
007P,Almaty-2 - Saratov,Almaty-2,"43.27397375871034, 76.93882354417588",Kazakhstan
007P,Almaty-2 - Saratov,Kopa,"43.525467766919526, 75.8106760932542",Kazakhstan
007P,Almaty-2 - Saratov,Otar,"43.53996865179691, 75.21089269268242",Kazakhstan
007P,Almaty-2 - Saratov,Shu,"43.60109129285158, 73.76073676546521",Kazakhstan
007P,Almaty-2 - Saratov,Turksib,"42.94572524612612, 72.7470476642911",Kazakhstan
007P,Almaty-2 - Saratov,Taraz,"42.87054930526968, 71.37970353170346",Kazakhstan
007P,Almaty-2 - Saratov,Borandy,"42.62187223747474, 70.77039935693122",Kazakhstan
007P,Almaty-2 - Saratov,Tulkibas,"42.489811034716126, 70.28366215006808",Kazakhstan
007P,Almaty-2 - Saratov,Mankent,"42.42816579223852, 69.82099546652171",Kazakhstan
007P,Almaty-2 - Saratov,Shymkent,"42.29875008081238, 69.61033677987854",Kazakhstan
007P,Almaty-2 - Saratov,Arys 2,"42.433544467095544, 68.78411552397284",Kazakhstan
007P,Almaty-2 - Saratov,Temir,"42.825538747905625, 68.44173437300329",Kazakhstan
007P,Almaty-2 - Saratov,Turkistan,"43.285739444813174, 68.21289679166819",Kazakhstan
007P,Almaty-2 - Saratov,Zhanaqorgan,"43.89976092768468, 67.24691924067373",Kazakhstan
